tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,36297,7725,8773685,146003,2017-08-01 16:23:56+00:00
892177421306343426,31293,5718,8774391,146004,2017-08-01 00:17:27+00:00
891815181378084864,23569,3786,8773686,146003,2017-07-31 00:18:03+00:00
891689557279858688,39583,7880,8774392,146004,2017-07-30 15:58:51+00:00
891327558926688256,37789,8506,8774392,146004,2017-07-29 16:00:24+00:00
891087950875897856,19040,2848,8774392,146004,2017-07-29 00:08:17+00:00
890971913173991426,11089,1855,8774392,146004,2017-07-28 16:27:12+00:00
890729181411237888,61139,17242,8774392,146004,2017-07-28 00:22:40+00:00
890609185150312448,26198,3925,8774392,146004,2017-07-27 16:25:51+00:00
890240255349198849,29935,6718,8774392,146004,2017-07-26 15:59:51+00:00
890006608113172480,28827,6702,8773686,146003,2017-07-26 00:31:25+00:00
889880896479866881,26214,4565,8774391,146004,2017-07-25 16:11:53+00:00
889665388333682689,45134,9152,8774391,146004,2017-07-25 01:55:32+00:00
889638837579907072,25398,4108,8774391,146004,2017-07-25 00:10:02+00:00
889531135344209921,14212,2061,8774391,146004,2017-07-24 17:02:04+00:00
889278841981685760,23680,4873,8773685,146003,2017-07-24 00:19:32+00:00
888917238123831296,27364,4116,8773685,146003,2017-07-23 00:22:39+00:00
888804989199671297,24039,3881,8774391,146004,2017-07-22 16:56:37+00:00
888554962724278272,18562,3185,8773685,146003,2017-07-22 00:23:06+00:00
888078434458587136,20461,3166,8774392,146004,2017-07-20 16:49:33+00:00
887705289381826560,28431,4921,8773686,146003,2017-07-19 16:06:48+00:00
887517139158093824,43599,10771,8773686,146003,2017-07-19 03:39:09+00:00
887473957103951883,64601,16461,8774392,146004,2017-07-19 00:47:34+00:00
887343217045368832,31637,9571,8773686,146003,2017-07-18 16:08:03+00:00
887101392804085760,28782,5452,8773686,146003,2017-07-18 00:07:08+00:00
886983233522544640,32850,7018,8773686,146003,2017-07-17 16:17:36+00:00
886736880519319552,11270,2940,8773686,146003,2017-07-16 23:58:41+00:00
886680336477933568,21121,4086,8773686,146003,2017-07-16 20:14:00+00:00
886366144734445568,19878,2894,8774392,146004,2017-07-15 23:25:31+00:00
886267009285017600,111,4,8774392,146004,2017-07-15 16:51:35+00:00
886258384151887873,26309,5776,8774392,146004,2017-07-15 16:17:19+00:00
886054160059072513,0,100,8773686,146003,2017-07-15 02:45:48+00:00
885984800019947520,30610,6143,8773686,146003,2017-07-14 22:10:11+00:00
885528943205470208,33798,5847,8773686,146003,2017-07-13 15:58:47+00:00
885518971528720385,19249,3408,8774392,146004,2017-07-13 15:19:09+00:00
